Slno,Code,File Name,Date,Year,Type,Language,Location,Source,Source Link
34,Srimati,Hin_Srimati_Radharani_ki_mahima-Day-1_ISKCON_Juhu_03-09-16.mp3,03-09-16,2016,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1W1IPWZsifXAmsI_XTLMgBYyH7jKB1gAw
35,Chaitanya,Hin_Chaitanya_mangal-Day-3-Vrindavan_12-10-25.mp3,12-10-25,2025,SEMINAR,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1pLKqBYPNihHqpyV64nIGpRvlb-vtoB3d
36,Chaitanya,Hin_Chaitanya_mangal-Ch-02-Vrindavan_10-10-25.mp3,10-10-25,2025,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1HHYE1fhYmT8zEvGRgP047Ku5RvzVBxry
37,Chaitanya,Hin_Chaitanya_mangal-Ch-01-Vrindavan_25-09-25.mp3,25-09-25,2025,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1mlYcxXePP8KmXs2qiGBMoYG-UBNFmQiH
38,Bali,Hin_Bali_maharaj_aur_Vaman_Bhagavan_ki_lila-Day-7_ISKCON_Jaipur_02-10-21.mp3,02-10-21,2021,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1usWyLLT1TqWJRAgiZrBMl9cTdMootxuB
39,Bali,Hin_Bali_maharaj_aur_Vaman_Bhagavan_ki_lila-Day-6_ISKCON_Jaipur_01-10-21.mp3,01-10-21,2021,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1pgABfodI6vVnKpDorthlD3cvrKjQMC3Y
40,Bali,Hin_Bali_maharaj_aur_Vaman_Bhagavan_ki_lila-Day-5_ISKCON_Jaipur_30-09-21.mp3,30-09-21,2021,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1A-1_S1IUh6uAdkDqG9TjIxKbTFDMh-7A
41,Bali,Hin_Bali_maharaj_aur_Vaman_Bhagavan_ki_lila-Day-4_ISKCON_Jaipur_29-09-21.mp3,29-09-21,2021,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1Z93_GlimY-usK181u0A_P1QlUWgDRKCn
42,Bali,Hin_Bali_maharaj_aur_Vaman_Bhagavan_ki_lila-Day-3_ISKCON_Jaipur_28-09-21.mp3,28-09-21,2021,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1FASm-oZnSWhP6YrJK8Y2pn81hs1VApJw
43,Bali,Hin_Bali_maharaj_aur_Vaman_Bhagavan_ki_lila-Day-2_ISKCON_Jaipur_27-09-21.mp3,27-09-21,2021,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=18QYP_dH8ZtGWjLHDe8jONfwv5NSVN--G
